ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,TEDTALK1945,TEXTRANK.TXT,0.20000,0.12222,0.15172,1
ROUGE-2,TEDTALK1945,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1945,TEXTRANK.TXT,0.05532,0.03023,0.03910,1
ROUGE-L,TEDTALK1948,TEXTRANK.TXT,0.13333,0.12766,0.13043,1
ROUGE-1,TEDTALK1948,TEXTRANK.TXT,0.19231,0.15625,0.17241,1
ROUGE-2,TEDTALK1948,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1948,TEXTRANK.TXT,0.05217,0.03871,0.04444,1
ROUGE-L,TEDTALK1947,TEXTRANK.TXT,0.17143,0.08000,0.10909,1
ROUGE-1,TEDTALK1947,TEXTRANK.TXT,0.25581,0.11340,0.15714,1
ROUGE-2,TEDTALK1947,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1947,TEXTRANK.TXT,0.06667,0.02796,0.03939,1
ROUGE-L,TEDTALK1949,TEXTRANK.TXT,0.16000,0.11429,0.13333,1
ROUGE-1,TEDTALK1949,TEXTRANK.TXT,0.23214,0.12621,0.16352,1
ROUGE-2,TEDTALK1949,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1949,TEXTRANK.TXT,0.06000,0.03093,0.04082,1
ROUGE-L,TEDTALK807,TEXTRANK.TXT,0.19608,0.11236,0.14286,1
ROUGE-1,TEDTALK807,TEXTRANK.TXT,0.28302,0.12000,0.16854,1
ROUGE-2,TEDTALK807,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK807,TEXTRANK.TXT,0.08000,0.02975,0.04337,1
ROUGE-L,TEDTALK808,TEXTRANK.TXT,0.08889,0.06154,0.07273,1
ROUGE-1,TEDTALK808,TEXTRANK.TXT,0.24074,0.15294,0.18705,1
ROUGE-2,TEDTALK808,TEXTRANK.TXT,0.01961,0.01220,0.01504,1
ROUGE-SU4,TEDTALK808,TEXTRANK.TXT,0.06250,0.03797,0.04724,1
ROUGE-L,TEDTALK809,TEXTRANK.TXT,0.10448,0.13462,0.11765,1
ROUGE-1,TEDTALK809,TEXTRANK.TXT,0.17073,0.20896,0.18792,1
ROUGE-2,TEDTALK809,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK809,TEXTRANK.TXT,0.04474,0.05231,0.04823,1
ROUGE-L,TEDTALK800,TEXTRANK.TXT,0.08824,0.04478,0.05941,1
ROUGE-1,TEDTALK800,TEXTRANK.TXT,0.26316,0.09709,0.14184,1
ROUGE-2,TEDTALK800,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
